ID	DrugID
1	1759
2	1759
3	1759
10	1759
11	1759
12	1759
13	1759
14	1759
15	1759
834	1759
835	1759
836	1759
4094	1759
4095	1759
4096	1759
4097	1759
4098	1759
4099	1759
4100	1759
4101	1759
4102	1759
4103	1759
4104	1759
4105	1759
4109	1759
4110	1759
4111	1759
4132	1759
4133	1759
4134	1759
4135	1759
4136	1759
4137	1759
4138	1759
4139	1759
4140	1759
4141	1759
4142	1759
4143	1759
8318	1759
8319	1759
8320	1759
8381	1759
8382	1759
8383	1759
8384	1759
8385	1759
8386	1759
8387	1759
8388	1759
8389	1759
8390	1759
8391	1759
8392	1759
8450	1759
8451	1759
8452	1759
8513	1759
8514	1759
8515	1759
8603	1759
8604	1759
8605	1759
8651	1759
8652	1759
8653	1759
9202	1759
9203	1759
9204	1759
13161	1759
13162	1759
13163	1759
13832	1759
13833	1759
13834	1759
14506	1759
14508	1759
14510	1759
14861	1759
14862	1759
14863	1759
14864	1759
14865	1759
14866	1759
14867	1759
14868	1759
14869	1759
14870	1759
14871	1759
14872	1759
14873	1759
14874	1759
14875	1759
14876	1759
14877	1759
14878	1759
14900	1759
14901	1759
14902	1759
14903	1759
14904	1759
14905	1759
14921	1759
14922	1759
14923	1759
14930	1759
14931	1759
14932	1759
14933	1759
14934	1759
14935	1759
14936	1759
14937	1759
14938	1759
14939	1759
14940	1759
14941	1759
14942	1759
14943	1759
14944	1759
14945	1759
14946	1759
14947	1759
15115	1759
15116	1759
15117	1759
15252	1759
15253	1759
15254	1759
15255	1759
15256	1759
15257	1759
16868	1759
16870	1759
16872	1759
16961	1759
16962	1759
16963	1759
18070	1759
18071	1759
18072	1759
18073	1759
18074	1759
18075	1759
18079	1759
18080	1759
18081	1759
18082	1759
18083	1759
18084	1759
18100	1759
18101	1759
18102	1759
18103	1759
18104	1759
18105	1759
4	1994
6	1994
8	1994
630	1994
631	1994
632	1994
648	1994
649	1994
650	1994
651	1994
652	1994
653	1994
1194	1994
1196	1994
1198	1994
3809	1994
3810	1994
3811	1994
4162	1994
4164	1994
4166	1994
4168	1994
4528	1994
4531	1994
4534	1994
6767	1994
6768	1994
6769	1994
7013	1994
7015	1994
7017	1994
